,word,frequency,length
非法fēifǎ,非法fēifǎ,1,5,
聯邦化liánbānghuà,聯邦化liánbānghuà,1,11,
任命rènmìng,任命rènmìng,1,7,
新將軍xīnjiāngjūn,新將軍xīnjiāngjūn,1,11,
事宜shìyí,事宜shìyí,1,5,
碰到pèngdào,碰到pèngdào,1,7,
發行fāxíng,發行fāxíng,1,6,
極為jíwèi,極為jíwèi,1,5,
勿wù,勿wù,1,2,
傷shāng,傷shāng,1,5,
心xīn,心xīn,1,3,
支zhī,支zhī,1,3,
卡普亞kǎpǔyà,卡普亞kǎpǔyà,1,6,
徵兵zhǐ zhēngbīng,徵兵zhǐ zhēngbīng,1,13,
外邊界wàibiānjiè,外邊界wàibiānjiè,1,10,
預料yùliào,預料yùliào,1,6,
凱撒軍kǎisājūn,凱撒軍kǎisājūn,1,8,
便宜biànyí,便宜biànyí,1,6,
政期zhèngqī,政期zhèngqī,1,7,
親自qīnzì,親自qīnzì,1,5,
保民官bǎomínguān,保民官bǎomínguān,1,10,
確鑿quèzáo,確鑿quèzáo,1,6,
無疑wúyí,無疑wúyí,1,4,
回答huídá,回答huídá,1,5,
領事lǐngshì,領事lǐngshì,1,7,
角逐jiǎozhú,角逐jiǎozhú,1,7,
手無寸鐵shǒuwúcùntiě,手無寸鐵shǒuwúcùntiě,1,12,
布宜諾斯艾利斯bùyínuòsīàilìsī,布宜諾斯艾利斯bùyínuòsīàilìsī,1,15,
安立奎ānlìkuí,安立奎ānlìkuí,1,7,
靠前kàoqián,靠前kàoqián,1,7,
伊莎貝拉yīshābèilā,伊莎貝拉yīshābèilā,1,10,
線xiàn,線xiàn,1,4,
埃斯特角āisītèjiǎo,埃斯特角āisītèjiǎo,1,10,
紐約州niǔyuēzhōu,紐約州niǔyuēzhōu,1,10,
薩拉託加sàlātuōjiā,薩拉託加sàlātuōjiā,1,10,
擊jī,擊jī,1,2,
適當shìdāng,適當shìdāng,1,7,
移民者yímínzhě,移民者yímínzhě,1,8,
殖民者zhímínzhě,殖民者zhímínzhě,1,9,
趕來gǎnlái,趕來gǎnlái,1,6,
英國人yīngguórén,英國人yīngguórén,1,10,
遠征yuǎnzhēng,遠征yuǎnzhēng,1,9,
奧爾巴尼àoěrbāní,奧爾巴尼àoěrbāní,1,8,
攔截lánjié,攔截lánjié,1,6,
哈德遜河hādéxùnhé,哈德遜河hādéxùnhé,1,9,
變種biànzhǒng,變種biànzhǒng,1,9,
外部wàibù,外部wàibù,1,5,
使用者shǐyòngzhě,使用者shǐyòngzhě,1,10,
英國法yīngguófǎ,英國法yīngguófǎ,1,9,
十世shíshì,十世shíshì,1,6,
五世wǔshì,五世wǔshì,1,5,
女兒們nǚérmen,女兒們nǚérmen,1,7,
繼承jìchéng,繼承jìchéng,1,7,
順位shùnwèi,順位shùnwèi,1,7,
她們tāmen,她們tāmen,1,5,
姨媽yímā,姨媽yímā,1,4,
專心zhuānxīn,專心zhuānxīn,1,8,
莫利塞mòlìsāi,莫利塞mòlìsāi,1,7,
韋斯wéisī,韋斯wéisī,1,5,
城區chéngqū,城區chéngqū,1,7,
會務huìwù,會務huìwù,1,5,
皮洛士píluòshì,皮洛士píluòshì,1,8,
西西里xīxīlǐ,西西里xīxīlǐ,1,6,
衰亡shuāiwáng,衰亡shuāiwáng,1,9,
衰落shuāiluò,衰落shuāiluò,1,8,
希臘人xīlàrén,希臘人xīlàrén,1,7,
沿用yányòng,沿用yányòng,1,7,
批pī,批pī,1,2,
山谷shāngǔ,山谷shāngǔ,1,6,
外界wàijiè,外界wàijiè,1,6,
隔開gékāi,隔開gékāi,1,5,
分成fēnchéng,分成fēnchéng,1,8,
城邦制chéngbāngzhì,城邦制chéngbāngzhì,1,12,
橫穿héngchuān,橫穿héngchuān,1,9,
領地lǐngde dì,領地lǐngde dì,1,9,
基督徒jīdūtú,基督徒jīdūtú,1,6,
母語版mǔyǔbǎn,母語版mǔyǔbǎn,1,7,
聖經shèngjīng,聖經shèngjīng,1,9,
跨海kuàhǎi,跨海kuàhǎi,1,6,
大船dàchuán,大船dàchuán,1,7,
擴張kuòzhāng,擴張kuòzhāng,1,8,
遍布biànbù,遍布biànbù,1,6,
崗哨gǎngshào,崗哨gǎngshào,1,8,
來往láiwǎng,來往láiwǎng,1,7,
看作kànzuò,看作kànzuò,1,6,
事業shìyè,事業shìyè,1,5,
習慣法xíguànfǎ,習慣法xíguànfǎ,1,8,
號hào,號hào,1,3,
薩謨奈sàmónài,薩謨奈sàmónài,1,7,
要塞yàosāi,要塞yàosāi,1,6,
文學獎wénxuéjiǎng,文學獎wénxuéjiǎng,1,11,
私下sīxià,私下sīxià,1,5,
施普林格shīpǔlíngé,施普林格shīpǔlíngé,1,10,
和解héjiě,和解héjiě,1,5,
以色列yǐsèliè,以色列yǐsèliè,1,7,
小木屋xiǎomùwū,小木屋xiǎomùwū,1,8,
燒毀shāohuǐ,燒毀shāohuǐ,1,7,
榮譽róngyù,榮譽róngyù,1,6,
勳章xūnzhāng,勳章xūnzhāng,1,8,
住房zhùfáng,住房zhùfáng,1,7,
卡爾卡鬆kǎěrkǎsōng,卡爾卡鬆kǎěrkǎsōng,1,10,
城堡chéngbǎo,城堡chéngbǎo,1,8,
特赦tèshè,特赦tèshè,1,5,
堅毅jiānyì,堅毅jiānyì,1,6,
巫術wūshù,巫術wūshù,1,5,
殺害shāhài,殺害shāhài,1,6,
馮féng,馮féng,1,4,
別林斯高晉biélínsīgāojìn,別林斯高晉biélínsīgāojìn,1,14,
布蘭斯菲爾德bùlánsīfēiěrdé,布蘭斯菲爾德bùlánsīfēiěrdé,1,14,
長途zhǎngtú,長途zhǎngtú,1,7,
征程zhēngchéng,征程zhēngchéng,1,10,
船長chuánzhǎng,船長chuánzhǎng,1,10,
歐內斯特ōunèisītè,歐內斯特ōunèisītè,1,9,
沙克爾頓shākèěrdùn,沙克爾頓shākèěrdùn,1,10,
爵士juéshì,爵士juéshì,1,6,
共gòng,共gòng,1,4,
起點qǐdiǎn,起點qǐdiǎn,1,6,
共和歷gònghélì,共和歷gònghélì,1,8,
雨月yǔyuè,雨月yǔyuè,1,5,
梵蒂岡fàndìgāng,梵蒂岡fàndìgāng,1,9,
馬匹mǎpǐ,馬匹mǎpǐ,1,4,
旁邊pángbiān,旁邊pángbiān,1,8,
公頃gōngqǐng,公頃gōngqǐng,1,8,
球場qiúchǎng,球場qiúchǎng,1,8,
賽馬場sàimǎchǎng,賽馬場sàimǎchǎng,1,10,
吞噬tūnshì,吞噬tūnshì,1,6,
木製mùzhì,木製mùzhì,1,5,
看台kàntái,看台kàntái,1,6,
其餘qíyú,其餘qíyú,1,4,
馬厩mǎjiù,馬厩mǎjiù,1,5,
拆毀chāihuǐ,拆毀chāihuǐ,1,7,
六世liùshì,六世liùshì,1,6,
死刑sǐxíng,死刑sǐxíng,1,6,
嫌疑犯xiányífàn,嫌疑犯xiányífàn,1,9,
罪行zuìxíng,罪行zuìxíng,1,7,
紀念幣jìniànbì,紀念幣jìniànbì,1,8,
本質běnzhì,本質běnzhì,1,6,
錢幣qiánbì,錢幣qiánbì,1,6,
銷售xiāoshòu,銷售xiāoshòu,1,8,
收藏家shōucángjiā,收藏家shōucángjiā,1,11,
起伏qǐfú,起伏qǐfú,1,4,
手工shǒugōng,手工shǒugōng,1,8,
加工品jiāgōngpǐn,加工品jiāgōngpǐn,1,10,
墓塚mùzhǒng,墓塚mùzhǒng,1,7,
卡拉布里亞kǎlābùlǐyà,卡拉布里亞kǎlābùlǐyà,1,10,
皇家區huángjiāqū,皇家區huángjiāqū,1,10,
塞斯托聖喬瓦尼sāisītuōshèngqiáowǎní,塞斯托聖喬瓦尼sāisītuōshèngqiáowǎní,1,21,
碰撞pèngzhuàng,碰撞pèngzhuàng,1,10,
澳ào,澳ào,1,2,
暴風雨bàofēngyǔ,暴風雨bàofēngyǔ,1,9,
伯納德bónàdé,伯納德bónàdé,1,6,
塔比tǎbǐ,塔比tǎbǐ,1,4,
財產cáichǎn,財產cáichǎn,1,7,
紡織品fǎngzhīpǐn,紡織品fǎngzhīpǐn,1,10,
批發商pīfāshāng,批發商pīfāshāng,1,9,
陷入xiànrù,陷入xiànrù,1,6,
逃離táolí,逃離táolí,1,5,
回程huíchéng,回程huíchéng,1,8,
抱bào,抱bào,1,3,
煩事fánshì,煩事fánshì,1,6,
丁丁dīngdīng,丁丁dīngdīng,1,8,
歷險記lìxiǎnjì,歷險記lìxiǎnjì,1,8,
拍成pāichéng,拍成pāichéng,1,8,
華特huátè,華特huátè,1,5,
徒勞túláo,徒勞túláo,1,5,
婚外情hūnwàiqíng,婚外情hūnwàiqíng,1,10,
低處dīchù,低處dīchù,1,5,
棵kē,棵kē,1,2,
棕櫚樹zōnglǘshù,棕櫚樹zōnglǘshù,1,9,
俯瞰fǔkàn,俯瞰fǔkàn,1,5,
大海dàhǎi,大海dàhǎi,1,5,
島民dǎomín,島民dǎomín,1,6,
小島xiǎodǎo,小島xiǎodǎo,1,7,
熱愛rèài,熱愛rèài,1,4,
島上dǎoshàng,島上dǎoshàng,1,8,
里程lǐchéng,里程lǐchéng,1,7,
紡織業fǎngzhīyè,紡織業fǎngzhīyè,1,9,
淪喪lúnsàng,淪喪lúnsàng,1,7,
布沙爾bùshāěr,布沙爾bùshāěr,1,7,
鐳學léixué,鐳學léixué,1,6,
休假xiūjiǎ,休假xiūjiǎ,1,6,
蒙特利爾méngtèlìěr,蒙特利爾méngtèlìěr,1,10,
電視台diànshìtái,電視台diànshìtái,1,10,
嘉賓jiābīn,嘉賓jiābīn,1,6,
衛冕wèimiǎn,衛冕wèimiǎn,1,7,
頭號tóuhào,頭號tóuhào,1,6,
种子zhǒngzi,种子zhǒngzi,1,7,
選手xuǎnshǒu,選手xuǎnshǒu,1,8,
莎拉shālā,莎拉shālā,1,5,
埃拉尼āilāní,埃拉尼āilāní,1,6,
失敗shībài,失敗shībài,1,6,
連輸liánshū,連輸liánshū,1,7,
射線shèxiàn,射線shèxiàn,1,7,
西西莉xīxīlì,西西莉xīxīlì,1,6,
金雀花jīnquèhuā,金雀花jīnquèhuā,1,9,
愛德華àidéhuá,愛德華àidéhuá,1,7,
於是yúshì,於是yúshì,1,5,
岡特gāngtè,岡特gāngtè,1,6,
騎士qíshì,騎士qíshì,1,5,
追隨者zhuīsuízhě,追隨者zhuīsuízhě,1,10,
倫敦塔lúndūntǎ,倫敦塔lúndūntǎ,1,8,
剛gāng,剛gāng,1,4,
葛洛麗亞géluòlìyà,葛洛麗亞géluòlìyà,1,9,
霍爾登huòěrdēng,霍爾登huòěrdēng,1,9,
愛ài,愛ài,1,2,
認可rènkě,認可rènkě,1,5,
釙源pòyuán,釙源pòyuán,1,6,
議長yìzhǎng,議長yìzhǎng,1,7,
皮雅芙píyǎfú,皮雅芙píyǎfú,1,6,
希特勒xītèlēi,希特勒xītèlēi,1,7,
伯倫bólún,伯倫bólún,1,5,
內閣nèigé,內閣nèigé,1,5,
發言fāyán,發言fāyán,1,5,
歸咎guījiù,歸咎guījiù,1,6,
捷克jiékè,捷克jiékè,1,5,
槍殺qiāngshā,槍殺qiāngshā,1,8,
蘇台德sūtáidé,蘇台德sūtáidé,1,7,
捷克斯洛伐克jiékèsīluòfákè,捷克斯洛伐克jiékèsīluòfákè,1,14,
瑪塞爾mǎsāiěr,瑪塞爾mǎsāiěr,1,7,
呆dāi,呆dāi,1,3,
房間fángjiān,房間fángjiān,1,8,
莫mò,莫mò,1,2,
製備zhìbèi,製備zhìbèi,1,6,
墨mò,墨mò,1,2,
街上jiēshàng,街上jiēshàng,1,8,
閒逛xiánguàng,閒逛xiánguàng,1,9,
酒吧jiǔba,酒吧jiǔba,1,5,
唱歌chànggē,唱歌chànggē,1,7,
史密斯shǐmìsī,史密斯shǐmìsī,1,7,
雲雀yúnquè,雲雀yúnquè,1,6,
邁爾màiěr,邁爾màiěr,1,5,
致信zhìxìn,致信zhìxìn,1,6,
伊雷娜yīléinà,伊雷娜yīléinà,1,7,
漢斯hànsī,漢斯hànsī,1,5,
佩特森pèitèsēn,佩特森pèitèsēn,1,8,
奧黛麗àodàilì,奧黛麗àodàilì,1,7,
赫本hèběn,赫本hèběn,1,5,
龍鳳lóngfèng,龍鳳lóngfèng,1,8,
錄音室lùyīnshì,錄音室lùyīnshì,1,8,
內涵nèihán,內涵nèihán,1,6,
神學shénxué,神學shénxué,1,7,
歌gē,歌gē,1,2,
搬往bānwǎng,搬往bānwǎng,1,7,
田納西州tiánnàxīzhōu,田納西州tiánnàxīzhōu,1,12,
納什維爾nàshénwéiěr,納什維爾nàshénwéiěr,1,11,
史蒂芬shǐdìfēn,史蒂芬shǐdìfēn,1,8,
欽佩qīnpèi,欽佩qīnpèi,1,6,
文獻wénxiàn,文獻wénxiàn,1,7,
大衛dàwèi,大衛dàwèi,1,5,
加姆遜jiāmǔxùn,加姆遜jiāmǔxùn,1,8,
寫歌xiěgē,寫歌xiěgē,1,5,
輪到lúndào,輪到lúndào,1,6,
配pèi,配pèi,1,3,
多塞特郡duōsāitèjùn,多塞特郡duōsāitèjùn,1,11,
普爾市pǔěrshì,普爾市pǔěrshì,1,7,
薩默塞特郡sàmòsāitèjùn,薩默塞特郡sàmòsāitèjùn,1,12,
威爾斯市wēiěrsīshì,威爾斯市wēiěrsīshì,1,10,
埃德加āidéjiā,埃德加āidéjiā,1,7,
漫畫家mànhuàjiā,漫畫家mànhuàjiā,1,9,
畫冊huàcè,畫冊huàcè,1,5,
新生代xīnshēngdài,新生代xīnshēngdài,1,11,
加斯jiāsī,加斯jiāsī,1,5,
詹寧斯zhānníngsī,詹寧斯zhānníngsī,1,10,
銀河系yínhéxì,銀河系yínhéxì,1,7,
漫遊mànyóu,漫遊mànyóu,1,6,
人文rénwén,人文rénwén,1,6,
神秘shénmì,神秘shénmì,1,6,
根植gēnzhí,根植gēnzhí,1,6,
馬克思mǎkèsī,馬克思mǎkèsī,1,6,
亨弗萊hēngfúlái,亨弗萊hēngfúlái,1,9,
鮑嘉bàojiā,鮑嘉bàojiā,1,6,
遊手好閒yóushǒuhǎoxián,遊手好閒yóushǒuhǎoxián,1,14,
花花公子huāhuāgōngzi,花花公子huāhuāgōngzi,1,12,
弟弟dìdì,弟弟dìdì,1,4,
週期zhōuqī,週期zhōuqī,1,6,
連任liánrèn,連任liánrèn,1,7,
吉米jímǐ,吉米jímǐ,1,4,
卡特kǎtè,卡特kǎtè,1,4,
值zhí,值zhí,1,3,
伊朗yīlǎng,伊朗yīlǎng,1,6,
人質rénzhì,人質rénzhì,1,6,
發酵fājiào,發酵fājiào,1,6,
眾zhòng,眾zhòng,1,5,
遠遠yuǎnyuǎn,遠遠yuǎnyuǎn,1,8,
低dī,低dī,1,2,
佔絕zhànjué,佔絕zhànjué,1,7,
出院chūyuàn,出院chūyuàn,1,7,
暗殺ànshā,暗殺ànshā,1,5,
倖存xìngcún,倖存xìngcún,1,7,
上帝shàngdì,上帝shàngdì,1,7,
拯救zhěngjiù,拯救zhěngjiù,1,8,
布洛克bùluòkè,布洛克bùluòkè,1,7,
堅定jiāndìng,堅定jiāndìng,1,8,
才是cáishì,才是cáishì,1,6,
哈利法克斯hālìfǎkèsī,哈利法克斯hālìfǎkèsī,1,10,
樞密院shūmìyuàn,樞密院shūmìyuàn,1,9,
血xuè,血xuè,1,3,
休xiū,休xiū,1,3,
賽車手sàichēshǒu,賽車手sàichēshǒu,1,10,
音樂家yīnlèjiā,音樂家yīnlèjiā,1,8,
湯姆tāngmǔ,湯姆tāngmǔ,1,6,
羅賓遜luóbīnxùn,羅賓遜luóbīnxùn,1,9,
翼yì,翼yì,1,2,
盜用輪dàoyònglún,盜用輪dàoyònglún,1,10,
隊友duìyǒu,隊友duìyǒu,1,6,
艾根àigēn,艾根àigēn,1,5,
吉姆jímǔ,吉姆jímǔ,1,4,
簽約qiānyuē,簽約qiānyuē,1,7,
迪卡díkǎ,迪卡díkǎ,1,4,
遊蕩者yóudàngzhě,遊蕩者yóudàngzhě,1,10,
墨菲mòfēi,墨菲mòfēi,1,5,
溫斯頓杯wēnsīdùnbēi,溫斯頓杯wēnsīdùnbēi,1,11,
去世qùshì,去世qùshì,1,5,
斯大林sīdàlín,斯大林sīdàlín,1,7,
阿巴庫莫夫ābākùmòfū,阿巴庫莫夫ābākùmòfū,1,9,
安全部ānquánbù,安全部ānquánbù,1,8,
組建zǔjiàn,組建zǔjiàn,1,6,
貝利亞bèilìyà,貝利亞bèilìyà,1,7,
強力qiánglì,強力qiánglì,1,7,
貝登bèidēng,貝登bèidēng,1,7,
烏夏克吞wūxiàkètūn,烏夏克吞wūxiàkètūn,1,10,
證實zhèngshí,證實zhèngshí,1,8,
瑪雅mǎyǎ,瑪雅mǎyǎ,1,4,
低地dīde dì,低地dīde dì,1,7,
該項gāixiàng,該項gāixiàng,1,8,
納斯卡nàsīkǎ,納斯卡nàsīkǎ,1,6,
對手戲duìshǒuxì,對手戲duìshǒuxì,1,9,
玫瑰méiguī,玫瑰méiguī,1,6,
王子wángzi,王子wángzi,1,6,
斯特拉森sītèlāsēn,斯特拉森sītèlāsēn,1,9,
曝pù,曝pù,1,2,
通姦tōngjiān,通姦tōngjiān,1,8,
娶qǔ,娶qǔ,1,2,
寡婦guǎfù,寡婦guǎfù,1,5,
安娜ānnà,安娜ānnà,1,4,
霍頓huòdùn,霍頓huòdùn,1,6,
狂野kuángyě,狂野kuángyě,1,7,
賣mài,賣mài,1,3,
此時cǐshí,此時cǐshí,1,5,
奢華shēhuá,奢華shēhuá,1,6,
發佈fābù,發佈fābù,1,4,
贏yíng,贏yíng,1,4,
台tái,台tái,1,3,
鋼琴gāngqín,鋼琴gāngqín,1,7,
裸體luǒtǐ,裸體luǒtǐ,1,5,
出鏡chūjìng,出鏡chūjìng,1,7,
聖路易shènglùyì,聖路易shènglùyì,1,9,
郵報yóubào,郵報yóubào,1,6,
最佳zuìjiā,最佳zuìjiā,1,6,
著火zhehuǒ,著火zhehuǒ,1,6,
肯瑟斯kěnsèsī,肯瑟斯kěnsèsī,1,7,
轉身zhuǎnshēn,轉身zhuǎnshēn,1,9,
艾略特àilüètè,艾略特àilüètè,1,7,
積分榜jīfēnbǎng,積分榜jīfēnbǎng,1,9,
湯普遜tāngpǔxùn,湯普遜tāngpǔxùn,1,9,
平和pínghé,平和pínghé,1,6,
圖像túxiàng,圖像túxiàng,1,7,
獵殺lièshā,獵殺lièshā,1,6,
姬絲汀jīsītīng,姬絲汀jīsītīng,1,8,
史葛shǐgé,史葛shǐgé,1,5,
湯瑪絲tāngmǎsī,湯瑪絲tāngmǎsī,1,8,
布偶bùǒu,布偶bùǒu,1,4,
大電影dàdiànyǐng,大電影dàdiànyǐng,1,10,
小妹xiǎomèi,小妹xiǎomèi,1,7,
服務員fúwùyuán,服務員fúwùyuán,1,8,
婚約hūnyuē,婚約hūnyuē,1,6,
斯托勒sītuōlēi,斯托勒sītuōlēi,1,8,
傑森jiésēn,傑森jiésēn,1,6,
約翰遜yuēhànxùn,約翰遜yuēhànxùn,1,9,
時兇shíxiōng,時兇shíxiōng,1,8,
布魯斯bùlǔsī,布魯斯bùlǔsī,1,6,
文本wénběn,文本wénběn,1,6,
威利斯wēilìsī,威利斯wēilìsī,1,7,
喬瑟夫qiáosèfū,喬瑟夫qiáosèfū,1,8,
高登gāodēng,高登gāodēng,1,7,
該片gāipiàn,該片gāipiàn,1,7,
上映shàngyìng,上映shàngyìng,1,9,
阿拉伯人ālābórén,阿拉伯人ālābórén,1,8,
典型diǎnxíng,典型diǎnxíng,1,8,
申克shēnkè,申克shēnkè,1,6,
塔爾梅奇tǎěrméiqí,塔爾梅奇tǎěrméiqí,1,9,
羅密歐luómìōu,羅密歐luómìōu,1,7,
茱麗葉zhūlìyè,茱麗葉zhūlìyè,1,7,
演yǎn,演yǎn,1,3,
麥葵格màikuígé,麥葵格màikuígé,1,8,
伊雲yīyún,伊雲yīyún,1,5,
霍爾斯道姆huòěrsīdàomǔ,霍爾斯道姆huòěrsīdàomǔ,1,12,
萊塞láisāi,萊塞láisāi,1,6,
帆船fān fánchuán,帆船fān fánchuán,1,12,
獨木dúmù,獨木dúmù,1,4,
舟zhōu,舟zhōu,1,4,
水上shuǐshàng,水上shuǐshàng,1,9,
接替jiētì,接替jiētì,1,5,
編劇biānjù,編劇biānjù,1,6,
邪惡xiéè,邪惡xiéè,1,4,
薩諾斯sànuòsī,薩諾斯sànuòsī,1,7,
主角zhǔjiǎo,主角zhǔjiǎo,1,7,
漫威mànwēi,漫威mànwēi,1,6,
星際xīngjì,星際xīngjì,1,6,
遨遊áoyóu,遨遊áoyóu,1,5,
德川déchuān,德川déchuān,1,7,
家康jiākāng,家康jiākāng,1,7,
直系zhíxì,直系zhíxì,1,5,
後代hòudài,後代hòudài,1,6,
舉重jǔzhòng,舉重jǔzhòng,1,7,
生前shēngqián,生前shēngqián,1,9,
伊夫yīfū,伊夫yīfū,1,4,
羅蘭luólán,羅蘭luólán,1,6,
香水xiāngshuǐ,香水xiāngshuǐ,1,9,
代言人dàiyánrén,代言人dàiyánrén,1,9,
喜劇xǐjù,喜劇xǐjù,1,4,
魚躍yúyuè,魚躍yúyuè,1,5,
奇緣qíyuán,奇緣qíyuán,1,6,
滴dī,滴dī,1,2,
請求qǐngqiú,請求qǐngqiú,1,7,
教師jiàoshī,教師jiàoshī,1,7,
跡像jīxiàng,跡像jīxiàng,1,7,
良好liánghǎo,良好liánghǎo,1,8,
形勢xíngshì,形勢xíngshì,1,7,
股市gǔshì,股市gǔshì,1,5,
立即lìjí,立即lìjí,1,4,
繁榮fánróng,繁榮fánróng,1,7,
遭遇zāoyù,遭遇zāoyù,1,5,
不順bùshùn,不順bùshùn,1,6,
老盧卡斯lǎolúkǎsī,老盧卡斯lǎolúkǎsī,1,9,
克拉納赫kèlānàhè,克拉納赫kèlānàhè,1,8,
幅fú,幅fú,1,2,
引人注目yǐnrénzhùmù,引人注目yǐnrénzhùmù,1,11,
煩惱fánnǎo,煩惱fánnǎo,1,6,
消失xiāoshī,消失xiāoshī,1,7,
風力fēnglì,風力fēnglì,1,6,
德新社déxīnshè,德新社déxīnshè,1,8,
複製權fùzhìquán,複製權fùzhìquán,1,9,
激活jīhuó,激活jīhuó,1,5,
污染物wūrǎnwù,污染物wūrǎnwù,1,7,
小孩子xiǎoháizi,小孩子xiǎoháizi,1,9,
青少年qīngshǎonián,青少年qīngshǎonián,1,12,
大腦dànǎo,大腦dànǎo,1,5,
長期zhǎngqī,長期zhǎngqī,1,7,
損傷sǔnshāng,損傷sǔnshāng,1,8,
國家級guójiājí,國家級guójiājí,1,8,
遺產yíchǎn,遺產yíchǎn,1,6,
列liè,列liè,1,3,
煤méi,煤méi,1,3,
阿明āmíng,阿明āmíng,1,5,
引誘yǐnyòu,引誘yǐnyòu,1,6,
耍shuǎ,耍shuǎ,1,4,
迫降pòjiàng,迫降pòjiàng,1,7,
沉入chénrù,沉入chénrù,1,6,
海底hǎidǐ,海底hǎidǐ,1,5,
沖上chōngshàng,沖上chōngshàng,1,10,
坦桑尼亞tǎnsāngníyà,坦桑尼亞tǎnsāngníyà,1,11,
波音bōyīn,波音bōyīn,1,5,
襟翼jīnyì,襟翼jīnyì,1,5,
得出déchū,得出déchū,1,5,
新結論xīnjiélùn,新結論xīnjiélùn,1,9,
調離diàolí,調離diàolí,1,6,
軒然大波xuānrándàbō,軒然大波xuānrándàbō,1,11,
逮捕dǎibǔ,逮捕dǎibǔ,1,5,
把戲bǎxì,把戲bǎxì,1,4,
阿德南ādénán,阿德南ādénán,1,6,
奧恩àoēn,奧恩àoēn,1,4,
哈里裡hālǐlǐ,哈里裡hālǐlǐ,1,6,
敵對díduì,敵對díduì,1,5,
派系pàixì,派系pàixì,1,5,
親密qīnmì,親密qīnmì,1,5,
丈夫zhàngfū,丈夫zhàngfū,1,7,
赦免shèmiǎn,赦免shèmiǎn,1,7,
里奇lǐqí,里奇lǐqí,1,4,
過多guòduō,過多guòduō,1,6,
再生zàishēng,再生zàishēng,1,8,
能源署néngyuánshǔ,能源署néngyuánshǔ,1,11,
總幹事zǒnggànshì,總幹事zǒnggànshì,1,10,
首要shǒuyào,首要shǒuyào,1,7,
任務rènwù,任務rènwù,1,5,
不足為奇bùzúwèiqí,不足為奇bùzúwèiqí,1,9,
文件wénjiàn,文件wénjiàn,1,7,
涵蓋hángài,涵蓋hángài,1,6,
吉拉德jílādé,吉拉德jílādé,1,6,
諮詢zīxún,諮詢zīxún,1,5,
緊急jǐnjí,緊急jǐnjí,1,5,
制定zhìdìng,制定zhìdìng,1,7,
客戶家kèhùjiā,客戶家kèhùjiā,1,7,
包含bāohán,包含bāohán,1,6,
時長shízhǎng,時長shízhǎng,1,8,
提交tíjiāo,提交tíjiāo,1,6,
上訴shàngsù,上訴shàngsù,1,7,
扣除kòuchú,扣除kòuchú,1,6,
左右zuǒyòu,左右zuǒyòu,1,6,
議案yìàn,議案yìàn,1,4,
科密kēmì,科密kēmì,1,4,
數碼shùmǎ,數碼shùmǎ,1,5,
費加羅報fèijiāluóbào,費加羅報fèijiāluóbào,1,12,
省出shěngchū,省出shěngchū,1,8,
安保ānbǎo,安保ānbǎo,1,5,
名聲míngshēng,名聲míngshēng,1,9,
太好tàihǎo,太好tàihǎo,1,6,
安塞密爾ānsāimìěr,安塞密爾ānsāimìěr,1,9,
威尼托wēinítuō,威尼托wēinítuō,1,8,
自由堡zìyóubǎo,自由堡zìyóubǎo,1,8,
軍人jūnrén,軍人jūnrén,1,6,
密切mìqiè,密切mìqiè,1,5,
安賽密爾ānsàimìěr,安賽密爾ānsàimìěr,1,9,
手冊shǒucè,手冊shǒucè,1,6,
總工會zǒnggōnghuì,總工會zǒnggōnghuì,1,11,
辦公桌bàngōngzhuō,辦公桌bàngōngzhuō,1,11,
物品wùpǐn,物品wùpǐn,1,5,
嘲笑cháoxiào,嘲笑cháoxiào,1,8,
賬號zhànghào,賬號zhànghào,1,8,
核hé,核hé,1,2,
流程liúchéng,流程liúchéng,1,8,
講話jiǎnghuà,講話jiǎnghuà,1,8,
改進gǎijìn,改進gǎijìn,1,6,
餘地yúde dì,餘地yúde dì,1,7,
正義zhèngyì,正義zhèngyì,1,7,
保守派bǎoshǒupài,保守派bǎoshǒupài,1,10,
議員票yìyuánpiào,議員票yìyuánpiào,1,10,
聖戈當shènggēdāng,聖戈當shènggēdāng,1,11,
加龍jiālóng,加龍jiālóng,1,7,
市長shìzhǎng,市長shìzhǎng,1,8,
監督jiāndū,監督jiāndū,1,6,
瑞啟達ruìqǐdá,瑞啟達ruìqǐdá,1,7,
達利dálì,達利dálì,1,4,
薩科齊sàkēqí,薩科齊sàkēqí,1,6,
前司法部qiánsīfǎbù,前司法部qiánsīfǎbù,1,10,
譴責qiǎnzé,譴責qiǎnzé,1,6,
布里斯bùlǐsī,布里斯bùlǐsī,1,6,
奧爾特弗àoěrtèfú,奧爾特弗àoěrtèfú,1,8,
內政nèizhèng,內政nèizhèng,1,8,
暴徒bàotú,暴徒bàotú,1,5,
限度xiàndù,限度xiàndù,1,6,
即便jíbiàn,即便jíbiàn,1,6,
駕駛員jiàshǐyuán,駕駛員jiàshǐyuán,1,10,
明鏡míngjìng,明鏡míngjìng,1,8,
否決fǒujué,否決fǒujué,1,6,
繁殖期fánzhíqī,繁殖期fánzhíqī,1,8,
埃森āisēn,埃森āisēn,1,5,
退休tuìxiū,退休tuìxiū,1,6,
死掉sǐdiào,死掉sǐdiào,1,6,
旁páng,旁páng,1,4,
袖手旁觀xiùshǒupángguān,袖手旁觀xiùshǒupángguān,1,15,
舊款jiùkuǎn,舊款jiùkuǎn,1,7,
謠言yáoyán,謠言yáoyán,1,6,
