,word,frequency,length,romanized_form
検討,検討,2,6,Kentou
アイデア,アイデア,2,5,Aidea
興味,興味,2,6,Kyoumi
交差,交差,2,5,Kousa
感じる,感じる,2,7,Kanziru
表示,表示,2,6,Hyouzi
熟知,熟知,2,7,Zyukuti
初,初,2,4,Hatu
政策,政策,2,7,Seisaku
相手,相手,2,4,Aite
証明,証明,2,7,Syoumei
ダッフィー,ダッフィー,2,6,Dahhii
リンカーン,リンカーン,2,7,Rinkaan
ガイドライン,ガイドライン,2,9,Gaidorain
知り,知り,2,4,Siri
大きい,大きい,2,5,Ookii
長期,長期,2,6,Tyouki
トリックス,トリックス,2,9,Torikkusu
はるか,はるか,2,7,Haru ka
限定,限定,2,6,Gentei
正しい,正しい,2,7,Tadasii
もたらし,もたらし,2,8,Motarasi
伸び,伸び,2,4,Nobi
完了,完了,2,7,Kanryou
中等,中等,2,7,Tyuutou
試料,試料,2,6,Siryou
火山,火山,2,5,Kazan
バーゴイン,バーゴイン,2,8,Baago in
満足,満足,2,7,Manzoku
通し,通し,2,5,Toosi
灯台,灯台,2,6,Toudai
将来,将来,2,7,Syourai
有し,有し,2,5,Yuusi
先月,先月,2,7,Sengetu
ジョリオ,ジョリオ,2,6,Zyorio
君主,君主,2,6,Kunsyu
留まる,留まる,2,6,Tomaru
挙げ,挙げ,2,3,Age
回答,回答,2,6,Kaitou
執筆,執筆,2,7,Sippitu
兵士,兵士,2,5,Heisi
無,無,2,2,Mu
恋,恋,2,3,Koi
議員,議員,2,4,Giin
なさ,なさ,2,4,Nasa
ゴンザレス,ゴンザレス,2,9,Gonzaresu
契丹,契丹,2,6,Kittan
求め,求め,2,6,Motome
額,額,2,4,Gaku
制圧,制圧,2,6,Seiatu
気質,気質,2,6,Kisitu
酸化,酸化,2,5,Sanka
応じ,応じ,2,4,Ouzi
見え,見え,2,3,Mie
会議,会議,2,5,Kaigi
ラマー,ラマー,2,5,Rama-
グローバル,グローバル,2,9,Guroobaru
モイミール,モイミール,2,8,Moimiiru
司法,司法,2,5,Sihou
ボランティア,ボランティア,2,8,Borantia
働く,働く,2,8,Hataraku
階級,階級,2,7,Kaikyuu
遼,遼,2,4,Ryou
ニューヨーク,ニューヨーク,2,9,Nyuuyooku
起訴,起訴,2,4,Kiso
ボール,ボール,2,5,Booru
ミケーネ,ミケーネ,2,7,Mikeene
差別,差別,2,6,Sabetu
ジョゼフ,ジョゼフ,2,7,Zyozehu
地上,地上,2,6,Tizyou
上院,上院,2,6,Zyouin
小,小,2,2,Ko
打倒,打倒,2,5,Datou
被っ,被っ,2,4,Kabu
舞台,舞台,2,5,Butai
後悔,後悔,2,6,Koukai
ポスト,ポスト,2,6,Posuto
マン,マン,2,3,Man
規制,規制,2,5,Kisei
雨季,雨季,2,3,Uki
地点,地点,2,5,Titen
医学,医学,2,5,Igaku
強化,強化,2,6,Kyouka
敷地,敷地,2,6,Sikiti
待つ,待つ,2,4,Matu
エンデュランス,エンデュランス,2,10,Endyuransu
セクション,セクション,2,8,Sekusyon
任期,任期,2,5,Ninki
友好,友好,2,6,Yuukou
サイト,サイト,2,5,Saito
デイビッド,デイビッド,2,8,Deibiddo
落とし,落とし,2,5,Otosi
総督,総督,2,7,Soutoku
報道,報道,2,6,Houdou
詩,詩,2,2,Si
南アフリカ,南アフリカ,2,13,Minamiahurika
ブラジル,ブラジル,2,8,Buraziru
ペべ,ペべ,2,5,Pe be
稀,稀,2,2,Ki
テロ,テロ,2,4,Tero
劇,劇,2,4,Geki
分離,分離,2,5,Bunri
控えめ,控えめ,2,7,Hikaeme
カーソン,カーソン,2,6,Kaason
同意,同意,2,4,Doui
スロバキア,スロバキア,2,9,Surobakia
女,女,2,4,Onna
果たす,果たす,2,6,Hatasu
賞賛,賞賛,2,7,Syousan
南極,南極,2,8,Nankyoku
教師,教師,2,6,Kyousi
肥料,肥料,2,6,Hiryou
アナヤ,アナヤ,2,5,Anaya
気団,気団,2,5,Kidan
わかっ,わかっ,2,4,Waka
顔,顔,2,3,Kao
天津,天津,2,6,Tensin
起源,起源,2,5,Kigen
ディレクター,ディレクター,2,9,Direkutaa
祖先,祖先,2,5,Sosen
シルト,シルト,2,6,Siruto
しまう,しまう,2,5,Simau
公国,公国,2,7,Koukoku
全般,全般,2,6,Zenpan
沈,沈,2,3,Tin
聖書,聖書,2,6,Seisyo
スノー,スノー,2,5,Sunoo
一番,一番,2,6,Itiban
オプション,オプション,2,7,Opusyon
アーティスト,アーティスト,2,8,Aatisuto
中東,中東,2,7,Tyuutou
トーナメント,トーナメント,2,10,Toonamento
引き出す,引き出す,2,8,Hikidasu
天気,天気,2,5,Tenki
遂げ,遂げ,2,4,Toge
基づい,基づい,2,7,Motozui
番,番,2,3,Ban
ベルギー,ベルギー,2,7,Berugii
会っ,会っ,2,1,A
進展,進展,2,6,Sinten
ラジオ,ラジオ,2,5,Razio
祝い,祝い,2,4,Iwai
国連,国連,2,7,Kokuren
青銅,青銅,2,6,Seidou
追加,追加,2,5,Tuika
石,石,2,3,Isi
選ば,選ば,2,5,Eraba
年齢,年齢,2,6,Nenrei
停止,停止,2,5,Teisi
建造,建造,2,6,Kenzou
指示,指示,2,4,Sizi
北朝鮮,北朝鮮,2,11,Kitatyousen
死後,死後,2,4,Sigo
型,型,2,4,Gata
好き,好き,2,4,Suki
石炭,石炭,2,7,Sekitan
ニコラス,ニコラス,2,8,Nikorasu
災害,災害,2,6,Saigai
取る,取る,2,4,Toru
南東,南東,2,6,Nantou
大会,大会,2,6,Taikai
マイリス,マイリス,2,8,Mai risu
著しく,著しく,2,11,Itizirusiku
レーガン,レーガン,2,6,Reegan
勃発,勃発,2,7,Boppatu
望ん,望ん,2,5,Nozon
患者,患者,2,6,Kanzya
購入,購入,2,7,Kounyuu
恐れ,恐れ,2,5,Osore
ビル,ビル,2,4,Biru
派,派,2,2,Ha
背景,背景,2,6,Haikei
オバマ,オバマ,2,5,Obama
中世,中世,2,7,Tyuusei
育っ,育っ,2,4,Soda
残念,残念,2,6,Zannen
下院,下院,2,4,Kain
いえる,いえる,2,4,Ieru
カナン,カナン,2,5,Kanan
レート,レート,2,5,Reeto
神,神,2,4,Kami
試み,試み,2,8,Kokoromi
明治,明治,2,5,Meizi
台無し,台無し,2,7,Dainasi
ゴール,ゴール,2,5,Gooru
感じ,感じ,2,5,Kanzi
繰り広げ,繰り広げ,2,10,Kurihiroge
アート,アート,2,4,Aato
クリス,クリス,2,6,Kurisu
容疑,容疑,2,5,Yougi
練習,練習,1,7,Rensyuu
マーベル,マーベル,1,7,Maaberu
ズデーテン,ズデーテン,1,8,Zudeeten
農民,農民,1,6,Noumin
イメージ,イメージ,1,6,Imeezi
ヒトラー,ヒトラー,1,7,Hitoraa
サノス,サノス,1,6,Sanosu
ルイス,ルイス,1,5,Ruisu
ウェイト,ウェイト,1,4,Eito
ディスパッチ,ディスパッチ,1,9,Disupatti
炎,炎,1,5,Honoo
包ま,包ま,1,6,Tutuma
入ろう,入ろう,1,6,Hairou
がた,がた,1,4,Gata
サイエンス,サイエンス,1,7,Saiensu
選集,選集,1,7,Sensyuu
見解,見解,1,6,Kenkai
徳川,徳川,1,8,Tokugawa
ピアノ,ピアノ,1,5,Piano
両国,両国,1,8,Ryoukoku
ナショナリズム,ナショナリズム,1,13,Nasyonarizumu
サンローラン,サンローラン,1,9,Sanrooran
ヌード,ヌード,1,5,Nuudo
家系,家系,1,5,Kakei
フョーグル,フョーグル,1,8,Hyooguru
検問,検問,1,6,Kenmon
リーチ,リーチ,1,5,Riiti
家康,家康,1,6,Ieyasu
演説,演説,1,6,Enzetu
内閣,内閣,1,7,Naikaku
スター,スター,1,5,Sutaa
香水,香水,1,6,Kousui
オピウム,オピウム,1,6,Opiumu
直系,直系,1,7,Tyokkei
ロス,ロス,1,4,Rosu
中断,中断,1,7,Tyuudan
経,経,1,2,He
チェンバレン,チェンバレン,1,8,Tenbaren
イヴ,イヴ,1,3,Ivu
チェコスロヴァキア,チェコスロヴァキア,1,13,Tekosurovakia
対面,対面,1,6,Taimen
議長,議長,1,6,Gityou
充填,充填,1,7,Zyuuten
抜擢,抜擢,1,7,Batteki
極悪,極悪,1,7,Gokuaku
原子,原子,1,5,Gensi
レヴィット,レヴィット,1,7,Revitto
アバクーモフ,アバクーモフ,1,10,Abakuumohu
保安,保安,1,4,Hoan
ルーパー,ルーパー,1,6,Ruupaa
ヴァレンティノ,ヴァレンティノ,1,9,Varentino
結成,結成,1,6,Kessei
受付,受付,1,7,Uketuke
ステレオタイプ,ステレオタイプ,1,13,Sutereo taipu
ネットワーク,ネットワーク,1,10,Nettowaaku
イーガン,イーガン,1,5,Iigan
距離,距離,1,5,Kyori
築く,築く,1,6,Kizuku
奨励,奨励,1,7,Syourei
ペテン,ペテン,1,5,Peten
ピギー,ピギー,1,5,Pigii
ウアシャクトゥン,ウアシャクトゥン,1,10,Uasyakutun
集まっ,集まっ,1,5,Atuma
パートナー,パートナー,1,8,Paatonaa
マペッツ,マペッツ,1,7,Mapettu
トンプソン,トンプソン,1,8,Tonpuson
ベリヤ,ベリヤ,1,6,Beriya
群集,群集,1,7,Gunsyuu
係,係,1,6,Gakari
シーゲル,シーゲル,1,7,Siigeru
録音,録音,1,6,Rokuon
没,没,1,2,Bo
デッカ,デッカ,1,5,Dekka
ソングライター,ソングライター,1,11,Songuraitaa
ヒュー,ヒュー,1,4,Hyuu
マーフィー,マーフィー,1,6,Maahi-
ストーラー,ストーラー,1,8,Sutooraa
ジェイソン,ジェイソン,1,6,Zeison
シンガー,シンガー,1,6,Singaa
憧れ,憧れ,1,7,Akogare
ゴードン,ゴードン,1,6,Goodon
ウェディング,ウェディング,1,6,Edingu
組ん,組ん,1,3,Kun
トレーニング,トレーニング,1,10,Toreeningu
ベル,ベル,1,4,Beru
ライアン,ライアン,1,5,Raian
ジョンソン,ジョンソン,1,7,Zyonson
関わっ,関わっ,1,6,Kakawa
ブルース,ブルース,1,7,Buruusu
ウィリス,ウィリス,1,5,Irisu
防御,防御,1,6,Bougyo
同年,同年,1,6,Dounen
フィッシング,フィッシング,1,8,Hissingu
会場,会場,1,7,Kaizyou
タルマッジ,タルマッジ,1,10,Ta rumazzi
次号,次号,1,5,Zigou
筋書き,筋書き,1,8,Suzigaki
参列,参列,1,7,Sanretu
葬式,葬式,1,7,Sousiki
クリスティン,クリスティン,1,9,Kurisutin
ヴァレンティ,ヴァレンティ,1,7,Varenti
配役,配役,1,7,Haiyaku
マクレガー,マクレガー,1,9,Makuregaa
エリオット,エリオット,1,7,Eriotto
輝き,輝き,1,8,Kagayaki
ユアン,ユアン,1,4,Yuan
歩き去っ,歩き去っ,1,7,Arukisa
ケンゼス,ケンゼス,1,7,Kenzesu
ストーリー,ストーリー,1,8,Sutoorii
ハルストレム,ハルストレム,1,12,Harusutoremu
ラッセ,ラッセ,1,5,Rasse
ハリファックス,ハリファックス,1,12,Hari hakkusu
枢密,枢密,1,7,Suumitu
アーク,アーク,1,4,Aaku
帆,帆,1,2,Ho
ドライバー,ドライバー,1,8,Doraibaa
欠ける,欠ける,1,6,Kakeru
ロミオ,ロミオ,1,5,Romio
究極,究極,1,9,Kyuukyoku
ホイール,ホイール,1,6,Hoiiru
サーモン,サーモン,1,6,Saamon
置こう,置こう,1,4,Okou
スティーラーズ,スティーラーズ,1,10,Sutiiraazu
コメディ,コメディ,1,6,Komedi
メソアメリカ,メソアメリカ,1,11,Mesoamerika
シェンク,シェンク,1,5,Senku
呼ん,呼ん,1,3,Yon
運命,運命,1,5,Unmei
ノーマ,ノーマ,1,5,Nooma
返り咲き,返り咲き,1,9,Kaerizaki
ロビンソン,ロビンソン,1,9,Robin son
トム,トム,1,4,Tomu
ジュリエット,ジュリエット,1,9,Zyurietto
ミュージシャン,ミュージシャン,1,10,Myuuzisyan
スコット,スコット,1,7,Sukotto
図像,図像,1,5,Zuzou
上旬,上旬,1,8,Zyouzyun
一作,一作,1,6,Issaku
週,週,1,4,Syuu
知的,知的,1,6,Titeki
シガー,シガー,1,5,Sigaa
カー,カー,1,3,Kaa
機動,機動,1,5,Kidou
騎馬,騎馬,1,4,Kiba
乗馬,乗馬,1,6,Zyouba
まま,まま,1,4,Mama
剣術,剣術,1,8,Kenzyutu
チャンドラー,チャンドラー,1,9,Tyandora-
ウェラー,ウェラー,1,4,Eraa
騎兵,騎兵,1,5,Kihei
壮大,壮大,1,6,Soudai
突撃,突撃,1,8,Totugeki
存続,存続,1,7,Sonzoku
壊滅,壊滅,1,7,Kaimetu
断言,断言,1,6,Dangen
染色,染色,1,8,Sensyoku
遺伝,遺伝,1,4,Iden
源,源,1,3,Gen
定義,定義,1,5,Teigi
歌う,歌う,1,4,Utau
熱心,熱心,1,6,Nessin
静的,静的,1,7,Seiteki
社長,社長,1,7,Syatyou
利点,利点,1,5,Riten
以後,以後,1,3,Igo
アメリカン,アメリカン,1,8,Amerikan
モータース,モータース,1,8,Mootaasu
ランブラー,ランブラー,1,9,Ran buraa
駆り立て,駆り立て,1,8,Karitate
緩ん,緩ん,1,5,Yurun
勧め,勧め,1,6,Susume
姓,姓,1,3,Sei
皇族,皇族,1,7,Kouzoku
改める,改める,1,9,Aratameru
著しい,著しい,1,10,Itizirusii
諡号,諡号,1,5,Sigou
スターンリーブ,スターンリーブ,1,11,Sutaanriibu
昭和,昭和,1,6,Syouwa
存命,存命,1,6,Zonmei
ジョー,ジョー,1,4,Zyoo
百,百,1,5,Hyaku
千,千,1,3,Sen
殺害,殺害,1,7,Satugai
湖南,湖南,1,9,Ko minami
湖北,湖北,1,7,Ko kita
林,林,1,6,Hayasi
見せる,見せる,1,6,Miseru
レジスタンス,レジスタンス,1,11,Rezisutansu
掃討,掃討,1,6,Soutou
ミリス,ミリス,1,6,Mirisu
民兵,民兵,1,6,Minpei
処刑,処刑,1,6,Syokei
ド,ド,1,2,Do
チャーチル,チャーチル,1,8,Tyaatiru
好意,好意,1,4,Koui
事前,事前,1,5,Zizen
親衛,親衛,1,6,Sin'ei
公的,公的,1,7,Kouteki
ヘロイン,ヘロイン,1,6,Heroin
溺れ,溺れ,1,5,Obore
下り坂,下り坂,1,10,Kudarizaka
エイズ,エイズ,1,4,Eizu
至っ,至っ,1,3,Ita
キャランジ,キャランジ,1,8,Kyaranzi
描い,描い,1,4,Egai
中尉,中尉,1,5,Tyuui
ダルナン,ダルナン,1,7,Darunan
則徐,則徐,1,7,Sokuzyo
新駅,新駅,1,6,Sineki
ジョージタウン,ジョージタウン,1,10,Zyoozitaun
戦う,戦う,1,7,Tatakau
敗れ,敗れ,1,6,Yabure
南京,南京,1,6,Nankin
割譲,割譲,1,8,Katuzyou
上海,上海,1,7,Syanhai
広州,広州,1,7,Kousyuu
居住,居住,1,7,Kyozyuu
飲む,飲む,1,4,Nomu
そそら,そそら,1,6,Sosora
開港,開港,1,6,Kaikou
マンドル,マンドル,1,8,Man doru
付き添っ,付き添っ,1,6,Tukiso
発明,発明,1,7,Hatumei
信号,信号,1,6,Singou
炭酸,炭酸,1,6,Tansan
錠剤,錠剤,1,7,Zyouzai
ノマ,ノマ,1,4,Noma
センチュリー,センチュリー,1,9,Sentyurii
ペロポンネーソス,ペロポンネーソス,1,14,Peroponneesosu
荒,荒,1,3,Are
メッセニア,メッセニア,1,9,Messe nia
奥,奥,1,3,Oku
作戦,作戦,1,7,Sakusen
女帝,女帝,1,6,Zyotei
エカチェリーナ,エカチェリーナ,1,10,Ekateriina
パール,パール,1,5,Paaru
ハーバー,ハーバー,1,6,Haabaa
プロパガンダ,プロパガンダ,1,11,Puropaganda
ロマノフ,ロマノフ,1,8,Romanohu
理想,理想,1,5,Risou
ビジョン,ビジョン,1,6,Bizyon
実態,実態,1,6,Zittai
盲目,盲目,1,7,Moumoku
きざし,きざし,1,6,Kizasi
見せ,見せ,1,4,Mise
かく,かく,1,4,Kaku
集積,集積,1,8,Syuuseki
スコタイ,スコタイ,1,7,Sukotai
西洋,西洋,1,6,Seiyou
接触,接触,1,8,Sessyoku
招集,招集,1,8,Syousyuu
マケドン,マケドン,1,7,Makedon
奪取,奪取,1,6,Dassyu
マデドニア,マデドニア,1,9,Madedonia
団員,団員,1,6,Dan'in
マレウス,マレウス,1,8,Mare usu
反し,反し,1,5,Hansi
施さ,施さ,1,8,Hodokosa
国勢,国勢,1,7,Kokusei
セファルディム,セファルディム,1,10,Seharudimu
ポルトガル,ポルトガル,1,10,Porutogaru
標的,標的,1,8,Hyouteki
東側,東側,1,10,Higasigawa
固く,固く,1,6,Kataku
ネストゥス,ネストゥス,1,8,Nesutusu
メスタ,メスタ,1,6,Mesuta
年々,年々,1,6,Nennen
テッサリア,テッサリア,1,8,Tessaria
打ち破り,打ち破り,1,9,Utiyaburi
テルモピレー,テルモピレー,1,12,Teru mopiree
山道,山道,1,6,Sandou
アカイア,アカイア,1,5,Akaia
有利,有利,1,5,Yuuri
開け,開け,1,3,Ake
つながっ,つながっ,1,6,Tunaga
オオバコ,オオバコ,1,6,Oobako
ポトマック,ポトマック,1,9,Potomakku
草地,草地,1,6,Kusati
たくさん,たくさん,1,7,Takusan
ピテクサエ,ピテクサエ,1,9,Pitekusae
クーマエ,クーマエ,1,7,Kuu mae
送り出し,送り出し,1,9,Okuridasi
ゴンドラ,ゴンドラ,1,7,Gondora
バナナ,バナナ,1,6,Banana
東南,東南,1,6,Tounan
担う,担う,1,5,Ninau
なめし皮,なめし皮,1,10,Namesigawa
毛糸,毛糸,1,5,Keito
皮革,皮革,1,6,Hikaku
原理,原理,1,5,Genri
ワット,ワット,1,5,Watto
金属,金属,1,7,Kinzoku
需要,需要,1,6,Zyuyou
作り出し,作り出し,1,10,Tukuridasi
耕作,耕作,1,7,Kousaku
出産,出産,1,7,Syussan
活躍,活躍,1,8,Katuyaku
証人,証人,1,7,Syounin
小さい,小さい,1,6,Tiisai
余り,余り,1,5,Amari
集中,集中,1,8,Syuutyuu
州兵,州兵,1,7,Syuuhei
被疑,被疑,1,4,Higi
集結,集結,1,8,Syuuketu
兵站,兵站,1,6,Heitan
被害,被害,1,5,Higai
米軍,米軍,1,6,Beigun
成っ,成っ,1,2,Na
プエルトリコ,プエルトリコ,1,11,Puerutoriko
グアム,グアム,1,5,Guamu
フィリピン,フィリピン,1,7,Hiripin
徴募,徴募,1,6,Tyoubo
大軍,大軍,1,6,Taigun
攻勢,攻勢,1,6,Kousei
道徳,道徳,1,7,Doutoku
ルネッサンス,ルネッサンス,1,10,Runessansu
終盤,終盤,1,7,Syuuban
イーグル,イーグル,1,6,Iiguru
搭載,搭載,1,6,Tousai
まずまず,まずまず,1,8,Mazumazu
レノックス,レノックス,1,9,Renokkusu
集まる,集まる,1,7,Atumaru
夫人,夫人,1,5,Huzin
ダグラス,ダグラス,1,8,Dagurasu
容易,容易,1,4,Youi
曲線,曲線,1,8,Kyokusen
マインド,マインド,1,6,Maindo
ジレンマ,ジレンマ,1,7,Zirenma
メトロポリタン,メトロポリタン,1,13,Metoroporitan
アニメーション,アニメーション,1,10,Animeesyon
仕上がっ,仕上がっ,1,5,Siaga
主題,主題,1,6,Syudai
寛容,寛容,1,7,Kan'you
幸福,幸福,1,7,Kouhuku
追及,追及,1,7,Tuikyuu
表す,表す,1,7,Arawasu
名詞,名詞,1,5,Meisi
共産,共産,1,7,Kyousan
終焉,終焉,1,6,Syuuen
ノンフィクション,ノンフィクション,1,11,Nonhikusyon
教え,教え,1,4,Osie
トール,トール,1,5,Tooru
修士,修士,1,6,Syuusi
アレクサンダー,アレクサンダー,1,11,Arekusanda-
アドバイス,アドバイス,1,8,Adobaisu
見出す,見出す,1,7,Miidasu
バリー,バリー,1,5,Barii
イーブニング,イーブニング,1,9,Iibuningu
クーラント,クーラント,1,8,Kuuranto
批評,批評,1,6,Hihyou
卒業,卒業,1,8,Sotugyou
取得,取得,1,7,Syutoku
売上,売上,1,6,Uriage
妹,妹,1,6,Imouto
スコッツマン,スコッツマン,1,11,Sukottu man
求人,求人,1,7,Kyuuzin
ノッティンガム,ノッティンガム,1,10,Nottingamu
ジャーナル,ジャーナル,1,8,Zyaanaru
スタッフ,スタッフ,1,7,Sutahhu
半,半,1,3,Han
キリエムア,キリエムア,1,9,Kirie mua
戦時,戦時,1,5,Senzi
抵抗,抵抗,1,6,Teikou
人道,人道,1,6,Zindou
ぞっと,ぞっと,1,5,Zotto
グラフトン,グラフトン,1,9,Gurahuton
トーリー,トーリー,1,6,Toorii
与党,与党,1,5,Yotou
復帰,復帰,1,5,Hukki
敬けん,敬けん,1,6,Keiken
祈り,祈り,1,5,Inori
信心,信心,1,6,Sinzin
品行,品行,1,6,Hinkou
皇太子,皇太子,1,8,Koutaisi
再選,再選,1,6,Saisen
カンバーランド,カンバーランド,1,12,Kanbaa rando
ストラサーン,ストラサーン,1,10,Sutorasaan
姦通,姦通,1,6,Kantuu
翌年,翌年,1,7,Yokunen
未亡人,未亡人,1,8,Mibouzin
アン,アン,1,2,An
ホートン,ホートン,1,6,Hooton
金遣い,金遣い,1,9,Kanezukai
除名,除名,1,6,Zyomei
公表,公表,1,7,Kouhyou
シングル,シングル,1,7,Singuru
あと,あと,1,3,Ato
自宅,自宅,1,6,Zitaku
絶頂,絶頂,1,7,Zettyou
ブロック,ブロック,1,7,Burokku
注ぐ,注ぐ,1,6,Sosogu
ロサンゼルス,ロサンゼルス,1,11,Rosanzerusu
元来,元来,1,6,Ganrai
ビルボード,ビルボード,1,9,Biruboodo
失速,失速,1,7,Sissoku
上り詰め,上り詰め,1,10,Noboritume
次点,次点,1,5,Ziten
チャート,チャート,1,6,Tyaato
ペニストン,ペニストン,1,10,Penisu ton
ウィズ,ウィズ,1,3,Izu
魔女,魔女,1,5,Mazyo
グリンダ,グリンダ,1,7,Gurinda
ウィルクス,ウィルクス,1,8,I rukusu
庶民,庶民,1,6,Syomin
決議,決議,1,6,Ketugi
楽しん,楽しん,1,7,Tanosin
演出,演出,1,7,Ensyutu
オペラ,オペラ,1,5,Opera
減っ,減っ,1,2,He
さえ,さえ,1,3,Sae
とても,とても,1,6,Totemo
軍部,軍部,1,5,Gunbu
新しく,新しく,1,9,Atarasiku
コンゴ,コンゴ,1,5,Kongo
ザイール,ザイール,1,6,Zaiiru
ルブンバシ,ルブンバシ,1,9,Rubunbasi
占拠,占拠,1,6,Senkyo
母親,母親,1,7,Hahaoya
かつ,かつ,1,4,Katu
悩む,悩む,1,6,Nayamu
主人,主人,1,6,Syuzin
ゴールド,ゴールド,1,7,Goorudo
ソール,ソール,1,5,Sooru
バス,バス,1,4,Basu
人材,人材,1,6,Zinzai
好ん,好ん,1,5,Konon
記者,記者,1,5,Kisya
未熟,未熟,1,7,Mizyuku
シンプル,シンプル,1,7,Sinpuru
牧師,牧師,1,6,Bokusi
アンテナ,アンテナ,1,6,Antena
遅,遅,1,3,Oso
しめ,しめ,1,4,Sime
優れ,優れ,1,6,Sugure
ベルリン,ベルリン,1,7,Berurin
空輸,空輸,1,5,Kuuyu
誘導,誘導,1,6,Yuudou
管制,管制,1,6,Kansei
ダイポール,ダイポール,1,8,Daipooru
用い,用い,1,5,Motii
路,路,1,2,Ro
角度,角度,1,6,Kakudo
分解,分解,1,6,Bunkai
能,能,1,4,Yoku
オペレーター,オペレーター,1,9,Opereetaa
精度,精度,1,5,Seido
確認,確認,1,7,Kakunin
口頭,口頭,1,6,Koutou
滑走,滑走,1,6,Kassou
熱望,熱望,1,7,Netubou
レヴェレンド,レヴェレンド,1,9,Reverendo
伝記,伝記,1,5,Denki
ジョコウィ,ジョコウィ,1,7,Zyoko i
ミニチュア,ミニチュア,1,8,Minityua
サイズ,サイズ,1,5,Saizu
制服,制服,1,7,Seihuku
手当,手当,1,5,Teate
修復,修復,1,8,Syuuhuku
プラボウォ,プラボウォ,1,7,Puraboo
スビアント,スビアント,1,8,Subianto
インドネシア,インドネシア,1,9,Indonesia
就任,就任,1,7,Syuunin
堅苦し,堅苦し,1,10,Katakurusi
退任,退任,1,6,Tainin
ユドヨノ,ユドヨノ,1,8,Yudoyono
補助,補助,1,5,Hozyo
減額,減額,1,7,Gengaku
燃料,燃料,1,7,Nenryou
とる,とる,1,4,Toru
キム,キム,1,4,Kimu
正式,正式,1,7,Seisiki
実物,実物,1,8,Zitubutu
オスワルド,オスワルド,1,9,Osuwarudo
ウィリアム,ウィリアム,1,6,Iriamu
追う,追う,1,2,Ou
ヘクラー,ヘクラー,1,7,Hekuraa
ギター,ギター,1,5,Gitaa
プレーヤー,プレーヤー,1,8,Pureeyaa
紹介,紹介,1,7,Syoukai
レニー,レニー,1,5,Renii
運,運,1,2,Un
独身,独身,1,7,Dokusin
ホーマー,ホーマー,1,6,Hoomaa
スパイ,スパイ,1,5,Supai
ユニバーサル,ユニバーサル,1,11,Yunibaasaru
叶える,叶える,1,7,Kanaeru
決意,決意,1,5,Ketui
ハマースミス,ハマースミス,1,11,Hamaasumisu
コロナ,コロナ,1,6,Korona
ステージ,ステージ,1,7,Suteezi
灼熱,灼熱,1,9,Syakunetu
肌,肌,1,4,Hada
イレイン,イレイン,1,6,Ire in
チェコ,チェコ,1,4,Teko
運ぶ,運ぶ,1,6,Hakobu
警備,警備,1,5,Keibi
掌握,掌握,1,7,Syouaku
歌,歌,1,3,Uta
感激,感激,1,7,Kangeki
アンコール,アンコール,1,7,Ankooru
閉会,閉会,1,6,Heikai
転換,転換,1,6,Tenkan
早く,早く,1,6,Hayaku
スエズ,スエズ,1,5,Suezu
動乱,動乱,1,6,Douran
保有,保有,1,5,Hoyuu
限界,限界,1,6,Genkai
見せつけ,見せつけ,1,8,Misetuke
奪回,奪回,1,6,Dakkai
ディジボーデンベルク,ディジボーデンベルク,1,16,Diziboodenberuku
散発,散発,1,7,Sanpatu
バルト,バルト,1,6,Baruto
勝ち取っ,勝ち取っ,1,6,Katito
ハンガリー,ハンガリー,1,8,Hangarii
かける,かける,1,6,Kakeru
脅し,脅し,1,5,Odosi
兼,兼,1,4,Kane
フランツ,フランツ,1,7,Hurantu
ヨーゼフ,ヨーゼフ,1,7,Yoozehu
両者,両者,1,7,Ryousya
平等,平等,1,7,Byoudou
賛美,賛美,1,5,Sanbi
目撃,目撃,1,8,Mokugeki
滞在,滞在,1,6,Taizai
隠密,隠密,1,6,Onmitu
阻止,阻止,1,4,Sosi
艦艇,艦艇,1,6,Kantei
広い,広い,1,5,Hiroi
さかのぼる,さかのぼる,1,10,Sakanoboru
恐らく,恐らく,1,7,Osoraku
銅器,銅器,1,5,Douki
エッツイ,エッツイ,1,5,Ettui
凍結,凍結,1,7,Touketu
ミイラ,ミイラ,1,5,Miira
かれ,かれ,1,4,Kare
銅,銅,1,3,Dou
メッキ,メッキ,1,5,Mekki
苛烈,苛烈,1,6,Karetu
ベルサイユ,ベルサイユ,1,9,Berusaiyu
法廷,法廷,1,6,Houtei
震撼,震撼,1,6,Sinkan
周知,周知,1,6,Syuuti
パン,パン,1,3,Pan
高騰,高騰,1,6,Koutou
欠如,欠如,1,7,Ketuzyo
高まっ,高まっ,1,6,Takama
騒然,騒然,1,6,Souzen
亡命,亡命,1,6,Boumei
払っ,払っ,1,4,Hara
補佐,補佐,1,4,Hosa
イスタンブール,イスタンブール,1,11,Isutanbuuru
要塞,要塞,1,6,Yousai
シャレー,シャレー,1,6,Syaree
焼け落ち,焼け落ち,1,7,Yakeoti
翌,翌,1,4,Yoku
友誼,友誼,1,5,Yuugi
勲章,勲章,1,7,Kunsyou
ヴィギエ,ヴィギエ,1,5,Vigie
ル,ル,1,2,Ru
コント,コント,1,5,Konto
福祉,福祉,1,6,Hukusi
移住,移住,1,5,Izyuu
カルカソンヌ,カルカソンヌ,1,11,Karukasonnu
アムネスティ,アムネスティ,1,9,Amunesuti
