,word,frequency,n_characters,romanized_form
北海,北海,2,6,běihǎi
摧毀,摧毀,2,6,cuīhuǐ
選區,選區,2,6,xuǎnqū
嘗試,嘗試,2,8,chángshì
馬德里,馬德里,2,6,mǎdélǐ
偉大,偉大,2,5,wěidà
忽視,忽視,2,5,hūshì
品種,品種,2,8,pǐnzhǒng
舊殖民地,舊殖民地,2,14,jiùzhímínde dì
邊緣,邊緣,2,8,biānyuán
遭,遭,2,3,zāo
充分,充分,2,8,chōngfēn
講述,講述,2,8,jiǎngshù
事實,事實,2,6,shìshí
國內,國內,2,6,guónèi
發電,發電,2,6,fādiàn
邁錫尼,邁錫尼,2,7,màixīní
條款,條款,2,8,tiáokuǎn
重現,重現,2,9,zhòngxiàn
一致,一致,2,5,yīzhì
全面,全面,2,8,quánmiàn
訪問,訪問,2,7,fǎngwèn
亦,亦,2,2,yì
嶄露頭角,嶄露頭角,2,13,zhǎnlùtóujiǎo
完工,完工,2,7,wángōng
市,市,2,3,shì
版本,版本,2,6,bǎnběn
席位,席位,2,5,xíwèi
哥倫佈,哥倫佈,2,7,gēlúnbù
嚴格,嚴格,2,5,yángé
生態,生態,2,8,shēngtài
利益,利益,2,4,lìyì
有力,有力,2,5,yǒulì
教,教,2,4,jiào
確保,確保,2,6,quèbǎo
污染,污染,2,5,wūrǎn
車型,車型,2,7,chēxíng
強,強,2,5,qiáng
佔領,佔領,2,8,zhànlǐng
不大,不大,2,4,bùdà
周圍,周圍,2,7,zhōuwéi
保障,保障,2,8,bǎozhàng
飽受,飽受,2,7,bǎoshòu
適合,適合,2,5,shìhé
滅亡,滅亡,2,7,mièwáng
善良,善良,2,9,shànliáng
探索,探索,2,6,tànsuǒ
尋求,尋求,2,6,xúnqiú
相同,相同,2,9,xiāngtóng
聽證會,聽證會,2,12,tīngzhènghuì
奠定,奠定,2,8,diàndìng
道德,道德,2,5,dàodé
顯然,顯然,2,7,xiǎnrán
克萊恩,克萊恩,2,7,kèláiēn
目的,目的,2,4,mùde
結構,結構,2,6,jiégòu
徹底,徹底,2,5,chèdǐ
娛樂,娛樂,2,4,yúlè
致命,致命,2,7,zhìmìng
控,控,2,4,kòng
畢竟,畢竟,2,6,bìjìng
歡迎,歡迎,2,8,huānyíng
細節,細節,2,5,xìjié
任,任,2,3,rèn
之於,之於,2,5,zhīyú
上午,上午,2,7,shàngwǔ
模型,模型,2,6,móxíng
今天,今天,2,7,jīntiān
五十,五十,2,5,wǔshí
引起,引起,2,5,yǐnqǐ
不過,不過,2,5,bùguò
視,視,2,3,shì
福特,福特,2,4,fútè
祈禱,祈禱,2,5,qídǎo
斯巴達,斯巴達,2,6,sībādá
錄製,錄製,2,5,lùzhì
美裔,美裔,2,5,měiyì
方針,方針,2,8,fāngzhēn
滿族,滿族,2,5,mǎnzú
指導,指導,2,6,zhǐdǎo
避孕,避孕,2,5,bìyùn
猶太教,猶太教,2,10,yóutàijiào
居住,居住,2,5,jūzhù
明治,明治,2,7,míngzhì
拉丁,拉丁,2,6,lādīng
激素,激素,2,4,jīsù
打鬥,打鬥,2,5,dǎdòu
溫度,溫度,2,5,wēndù
瘋狂,瘋狂,2,9,fēngkuáng
年號,年號,2,7,niánhào
優步,優步,2,5,yōubù
初期,初期,2,5,chūqī
困擾,困擾,2,6,kùnrǎo
受洗,受洗,2,6,shòuxǐ
南極,南極,2,5,nánjí
關心,關心,2,7,guānxīn
澳洲,澳洲,2,6,àozhōu
意味,意味,2,5,yìwèi
針對,針對,2,7,zhēnduì
發生率,發生率,2,9,fāshēnglǜ
農民,農民,2,7,nóngmín
告誡,告誡,2,6,gàojiè
廢墟,廢墟,2,5,fèixū
代理人,代理人,2,8,dàilǐrén
激進,激進,2,5,jījìn
政策,政策,2,7,zhèngcè
林肯,林肯,2,6,línkěn
然而,然而,2,5,ránér
民國,民國,2,6,mínguó
揭示,揭示,2,6,jiēshì
友好,友好,2,6,yǒuhǎo
遺憾,遺憾,2,5,yíhàn
理事會,理事會,2,8,lǐshìhuì
更大,更大,2,6,gèngdà
檢測,檢測,2,6,jiǎncè
差異,差異,2,9,chà chāyì
阿拉斯加,阿拉斯加,2,8,ālāsījiā
編輯,編輯,2,6,biānjí
手術,手術,2,7,shǒushù
告知,告知,2,6,gàozhī
旅程,旅程,2,7,lǚchéng
遠離,遠離,2,6,yuǎnlí
地圖,地圖,2,7,de dìtú
管,管,2,4,guǎn
早期,早期,2,5,zǎoqī
主張,主張,2,8,zhǔzhāng
基督,基督,2,4,jīdū
角洲,角洲,2,8,jiǎozhōu
信,信,2,3,xìn
片,片,2,4,piàn
然後,然後,2,6,ránhòu
西方,西方,2,6,xīfāng
醫生,醫生,2,7,yīshēng
真實,真實,2,7,zhēnshí
加勒比人,加勒比人,2,11,jiālēibǐrén
圖片,圖片,2,6,túpiàn
鑑,鑑,2,4,jiàn
不可,不可,2,4,bùkě
放,放,2,4,fàng
運輸,運輸,2,6,yùnshū
多瑙河,多瑙河,2,8,duōnǎohé
必,必,2,2,bì
戴,戴,2,3,dài
西邊,西邊,2,6,xībiān
省,省,2,5,shěng
選出,選出,2,7,xuǎnchū
便,便,2,4,biàn
烏克蘭,烏克蘭,2,7,wūkèlán
面,面,2,4,miàn
政黨,政黨,2,9,zhèngdǎng
雷暴,雷暴,2,6,léibào
希律,希律,2,4,xīlǜ
好像,好像,2,8,hǎoxiàng
拉瑪爾,拉瑪爾,2,6,lāmǎěr
初選,初選,2,7,chūxuǎn
下面,下面,2,7,xiàmiàn
黨內,黨內,2,7,dǎngnèi
局勢,局勢,2,5,júshì
經過,經過,2,7,jīngguò
平原,平原,2,8,píngyuán
層面,層面,2,8,céngmiàn
病人,病人,2,7,bìngrén
佔,佔,2,4,zhàn
希羅底,希羅底,2,7,xīluódǐ
準確,準確,2,7,zhǔnquè
境內,境內,2,7,jìngnèi
專業,專業,2,7,zhuānyè
穿,穿,2,5,chuān
謙遜,謙遜,2,7,qiānxùn
展現,展現,2,8,zhǎnxiàn
軍官,軍官,2,7,jūnguān
購買,購買,2,6,gòumǎi
法蘭西,法蘭西,2,7,fǎlánxī
畫,畫,2,3,huà
種族,種族,2,7,zhǒngzú
主義者,主義者,2,8,zhǔyìzhě
性別,性別,2,7,xìngbié
預算,預算,2,6,yùsuàn
年度,年度,2,6,niándù
據稱,據稱,2,7,jùchēng
部件,部件,2,6,bùjiàn
平行,平行,2,8,píngxíng
謂,謂,2,3,wèi
內部,內部,2,5,nèibù
轉,轉,2,5,zhuǎn
形式,形式,2,7,xíngshì
比利時,比利時,2,7,bǐlìshí
債務,債務,2,6,zhàiwù
聯軍,聯軍,2,7,liánjūn
奧,奧,2,2,ào
交易,交易,2,6,jiāoyì
穿戴,穿戴,2,8,chuāndài
醜聞,醜聞,2,7,chǒuwén
妥善,妥善,2,7,tuǒshàn
以後,以後,2,5,yǐhòu
指揮權,指揮權,2,10,zhǐhuīquán
噁心,噁心,2,4,ěxīn
發育,發育,2,4,fāyù
劇本,劇本,2,5,jùběn
審查,審查,2,7,shěnchá
真正,真正,2,9,zhēnzhèng
有名,有名,2,7,yǒumíng
感覺,感覺,2,6,gǎnjué
更為,更為,2,7,gèngwèi
不多,不多,2,5,bùduō
舞台劇,舞台劇,2,7,wǔtáijù
差,差,2,7,chà chā
紀念碑,紀念碑,2,9,jìniànbēi
殊榮,殊榮,2,7,shūróng
仍舊,仍舊,2,7,réngjiù
網上,網上,2,9,wǎngshàng
醫療,醫療,2,6,yīliáo
別人,別人,2,6,biérén
法西斯,法西斯,2,6,fǎxīsī
群體,群體,2,5,qúntǐ
英格蘭,英格蘭,2,9,yīnggélán
退,退,2,3,tuì
探討,探討,2,6,tàntǎo
詳細,詳細,2,7,xiángxì
疼痛,疼痛,2,8,téngtòng
歌手,歌手,2,6,gēshǒu
殺,殺,2,3,shā
割讓,割讓,2,6,gēràng
圍繞,圍繞,2,6,wéirào
堪薩斯州,堪薩斯州,2,11,kānsàsīzhōu
分離,分離,2,5,fēnlí
達菲,達菲,2,5,dáfēi
復興,復興,2,6,fùxìng
地峽,地峽,2,8,de dìxiá
話,話,2,3,huà
爭論,爭論,2,8,zhēnglùn
加入,加入,2,5,jiārù
民主,民主,2,6,mínzhǔ
降到,降到,2,8,jiàngdào
欺詐,欺詐,2,5,qīzhà
威尼斯,威尼斯,2,7,wēinísī
三十,三十,2,6,sānshí
停運,停運,2,7,tíngyùn
黨,黨,2,4,dǎng
發電機,發電機,2,8,fādiànjī
進攻,進攻,2,7,jìngōng
戰敗,戰敗,2,7,zhànbài
很好,很好,2,6,hěnhǎo
超越,超越,2,7,chāoyuè
印第安人,印第安人,2,10,yìndìānrén
規定,規定,2,7,guīdìng
問,問,2,3,wèn
西北部,西北部,2,7,xīběibù
廣播,廣播,2,7,guǎngbō
鬥志,鬥志,2,6,dòuzhì
醫學,醫學,2,5,yīxué
考慮,考慮,2,5,kǎolǜ
港口,港口,2,7,gǎngkǒu
士兵,士兵,2,7,shìbīng
聲稱,聲稱,2,10,shēngchēng
嚴重,嚴重,2,8,yánzhòng
船員,船員,2,9,chuányuán
遭到,遭到,2,6,zāodào
爭議,爭議,2,7,zhēngyì
符合,符合,2,4,fúhé
白人,白人,2,6,báirén
東南,東南,1,7,dōngnán
請願,請願,1,8,qǐngyuàn
志願軍,志願軍,1,10,zhìyuànjūn
動畫,動畫,1,7,dònghuà
餘部,餘部,1,4,yúbù
願景,願景,1,8,yuànjǐng
人道,人道,1,6,réndào
中止,中止,1,8,zhōngzhǐ
該處,該處,1,6,gāichù
分裂,分裂,1,6,fēnliè
威爾克斯,威爾克斯,1,9,wēiěrkèsī
最早,最早,1,6,zuìzǎo
工作室,工作室,1,10,gōngzuòshì
達成,達成,1,7,dáchéng
募集,募集,1,4,mùjí
得票,得票,1,6,dépiào
粉芭蕉,粉芭蕉,1,9,fěnbājiāo
格拉夫頓,格拉夫頓,1,9,gélāfūdùn
種植,種植,1,8,zhǒngzhí
婦女,婦女,1,4,fùnǚ
酒店,酒店,1,7,jiǔdiàn
開設,開設,1,6,kāishè
外貌,外貌,1,6,wàimào
加深,加深,1,7,jiāshēn
做好,做好,1,6,zuòhǎo
寬容,寬容,1,8,kuānróng
打算,打算,1,6,dǎsuàn
溫泉關,溫泉關,1,11,wēnquánguān
部署,部署,1,5,bùshǔ
行進,行進,1,7,xíngjìn
掌握,掌握,1,7,zhǎngwò
原理,原理,1,6,yuánlǐ
牢牢,牢牢,1,6,láoláo
情操,情操,1,7,qíngcāo
山莊,山莊,1,10,shānzhuāng
古代,古代,1,5,gǔdài
油價,油價,1,6,yóujià
蠅頭小利,蠅頭小利,1,13,yíngtóuxiǎolì
執著,執著,1,6,zhízhe
匯集,匯集,1,5,huìjí
陶冶,陶冶,1,5,táoyě
幸福,幸福,1,6,xìngfú
塞薩利,塞薩利,1,7,sāisàlì
視而不見,視而不見,1,11,shìérbùjiàn
佛羅里達,佛羅里達,1,9,fúluólǐdá
大大,大大,1,4,dàdà
長遠,長遠,1,9,zhǎngyuǎn
利潤,利潤,1,5,lìrùn
皮毛,皮毛,1,5,pímáo
歌劇,歌劇,1,4,gējù
待命區,待命區,1,9,dàimìngqū
自傳,自傳,1,7,zìchuán
糞便,糞便,1,7,fènbiàn
正日,正日,1,7,zhèngrì
蘇格蘭人,蘇格蘭人,1,10,sūgélánrén
瓦特,瓦特,1,4,wǎtè
結,結,1,3,jié
可觀,可觀,1,6,kěguān
戰時,戰時,1,7,zhànshí
諾斯,諾斯,1,5,nuòsī
戲劇性,戲劇性,1,8,xìjùxìng
集結,集結,1,5,jíjié
文藝,文藝,1,5,wényì
托利黨,托利黨,1,9,tuōlìdǎng
遞交,遞交,1,6,dìjiāo
召集,召集,1,6,zhàojí
無效,無效,1,6,wúxiào
關島,關島,1,7,guāndǎo
葉卡捷琳娜,葉卡捷琳娜,1,12,yèkǎjiélínnà
故鄉,故鄉,1,7,gùxiāng
音樂界,音樂界,1,8,yīnlèjiè
人家,人家,1,6,rénjiā
銷量,銷量,1,9,xiāoliàng
道格拉斯,道格拉斯,1,9,dàogélāsī
素可泰,素可泰,1,7,sùkětài
除去,除去,1,5,chúqù
公告牌,公告牌,1,10,gōnggàopái
曲線,曲線,1,6,qūxiàn
新世界,新世界,1,9,xīnshìjiè
二百,二百,1,5,èrbǎi
陪葬品,陪葬品,1,10,péizàngpǐn
當下,當下,1,7,dāngxià
珍珠港,珍珠港,1,11,zhēnzhūgǎng
埋葬,埋葬,1,7,máizàng
版,版,1,3,bǎn
婚,婚,1,3,hūn
上榜,上榜,1,9,shàngbǎng
巔峰,巔峰,1,8,diānfēng
一心一意,一心一意,1,9,yīxīnyīyì
香蕉,香蕉,1,9,xiāngjiāo
征服戰,征服戰,1,11,zhēngfúzhàn
洛杉磯,洛杉磯,1,9,luòshānjī
紀實,紀實,1,5,jìshí
查爾斯,查爾斯,1,7,cháěrsī
四十,四十,1,5,sìshí
荷蘭人,荷蘭人,1,8,hélánrén
患有,患有,1,7,huànyǒu
菲律賓,菲律賓,1,8,fēilǜbīn
有加,有加,1,6,yǒujiā
抱有,抱有,1,6,bàoyǒu
同情心,同情心,1,11,tóngqíngxīn
讚賞,讚賞,1,8,zànshǎng
嚴厲,嚴厲,1,5,yánlì
學說,學說,1,7,xuéshuō
托爾,托爾,1,5,tuōěr
女皇,女皇,1,7,nǚhuáng
論諾克斯,論諾克斯,1,10,lùnnuòkèsī
戶,戶,1,2,hù
五百萬,五百萬,1,8,wǔbǎiwàn
哈布斯堡,哈布斯堡,1,9,hābùsībǎo
跡象,跡象,1,7,jīxiàng
避免,避免,1,6,bìmiǎn
波多黎各,波多黎各,1,9,bōduōlígè
基里繆爾,基里繆爾,1,9,jīlǐmóuěr
學位,學位,1,6,xuéwèi
仙踪,仙踪,1,8,xiānzōng
碩士,碩士,1,7,shuòshì
畢業,畢業,1,4,bìyè
晚報,晚報,1,6,wǎnbào
龐大,龐大,1,6,pángdà
製片人,製片人,1,10,zhìpiànrén
尤多約夫,尤多約夫,1,11,yóuduōyuēfū
琳達,琳達,1,5,líndá
糧食,糧食,1,8,liángshí
理想,理想,1,7,lǐxiǎng
字母,字母,1,4,zìmǔ
貝瑞,貝瑞,1,6,bèiruì
障礙,障礙,1,7,zhàngài
守護,守護,1,6,shǒuhù
重兵,重兵,1,9,zhòngbīng
亞加亞,亞加亞,1,7,yàjiāyà
很愛,很愛,1,5,hěnài
警衛,警衛,1,7,jǐngwèi
綠野,綠野,1,4,lǜyě
往來,往來,1,7,wǎnglái
妹妹,妹妹,1,6,mèimèi
西西里島,西西里島,1,9,xīxīlǐdǎo
耕地,耕地,1,9,gēngde dì
神聖,神聖,1,9,shénshèng
解約,解約,1,6,jiěyuē
羅曼諾夫,羅曼諾夫,1,11,luómànnuòfū
佩妮斯頓,佩妮斯頓,1,10,pèinīsīdùn
牧場,牧場,1,7,mùchǎng
日報,日報,1,5,rìbào
諾丁漢,諾丁漢,1,10,nuòdīnghàn
皮特庫賽,皮特庫賽,1,9,pítèkùsài
音樂劇,音樂劇,1,7,yīnlèjù
長久,長久,1,8,zhǎngjiǔ
招聘,招聘,1,7,zhāopìn
深入,深入,1,6,shēnrù
類似,類似,1,6,lèishì
庫邁,庫邁,1,5,kùmài
尷尬,尷尬,1,5,gāngà
養育,養育,1,6,yǎngyù
蘇格蘭人報,蘇格蘭人報,1,13,sūgélánrénbào
等級,等級,1,6,děngjí
尤卡坦,尤卡坦,1,8,yóukǎtǎn
兵力,兵力,1,6,bīnglì
湖,湖,1,2,hú
道明會,道明會,1,10,dàomínghuì
占領,占領,1,8,zhànlǐng
定義,定義,1,6,dìngyì
三十九,三十九,1,9,sānshíjiǔ
剛果,剛果,1,7,gāngguǒ
此刻,此刻,1,4,cǐkè
居住區,居住區,1,7,jūzhùqū
瓶,瓶,1,4,píng
套,套,1,3,tào
經,經,1,4,jīng
創造,創造,1,9,chuàngzào
效果,效果,1,7,xiàoguǒ
著作,著作,1,6,zhezuò
簡單,簡單,1,7,jiǎndān
整合,整合,1,7,zhěnghé
威勒,威勒,1,6,wēilēi
跑道,跑道,1,6,pǎodào
指引,指引,1,6,zhǐyǐn
林,林,1,3,lín
指令,指令,1,7,zhǐlìng
則徐,則徐,1,4,zéxú
過往,過往,1,7,guòwǎng
語音,語音,1,5,yǔyīn
顯示器,顯示器,1,9,xiǎnshìqì
邁向,邁向,1,8,màixiàng
心理學,心理學,1,8,xīnlǐxué
南京,南京,1,7,nánjīng
高精度,高精度,1,9,gāojīngdù
上海,上海,1,8,shànghǎi
更高,更高,1,7,gènggāo
公報,公報,1,7,gōngbào
取決,取決,1,5,qǔjué
祖先,祖先,1,6,zǔxiān
拉合爾,拉合爾,1,6,lāhéěr
心裡,心裡,1,5,xīnlǐ
重騎兵,重騎兵,1,11,zhòngqíbīng
愛河,愛河,1,4,àihé
巴斯,巴斯,1,4,bāsī
索爾,索爾,1,5,suǒěr
惠勒斯蒂芬,惠勒斯蒂芬,1,13,huìlēisīdìfēn
有生,有生,1,8,yǒushēng
教徒,教徒,1,6,jiàotú
基普林,基普林,1,7,jīpǔlín
格德,格德,1,4,gédé
裁判所,裁判所,1,9,cáipànsuǒ
大主教,大主教,1,9,dàzhǔjiào
比爾,比爾,1,4,bǐěr
消滅,消滅,1,7,xiāomiè
薩爾茲堡,薩爾茲堡,1,9,sàěrzībǎo
母子,母子,1,4,mǔzi
掙扎,掙扎,1,8,zhēngzhā
刻畫,刻畫,1,5,kèhuà
克雷默,克雷默,1,7,kèléimò
欠佳,欠佳,1,7,qiànjiā
常染色,常染色,1,10,chángrǎnsè
體,體,1,2,tǐ
興致,興致,1,7,xìngzhì
炎熱,炎熱,1,5,yánrè
高海拔,高海拔,1,8,gāohǎibá
勢不可擋,勢不可擋,1,11,shìbùkědǎng
海因里希,海因里希,1,10,hǎiyīnlǐxī
基因,基因,1,5,jīyīn
盧本巴希,盧本巴希,1,9,lúběnbāxī
廣州,廣州,1,9,guǎngzhōu
控制員,控制員,1,11,kòngzhìyuán
段落,段落,1,7,duànluò
參戰者,參戰者,1,10,cānzhànzhě
薪資,薪資,1,5,xīnzī
鷹,鷹,1,4,yīng
裝備,裝備,1,9,zhuāngbèi
轟炸機,轟炸機,1,9,hōngzhàjī
太晚,太晚,1,6,tàiwǎn
研發,研發,1,5,yánfā
艾滋病,艾滋病,1,8,àizībìng
墮落,墮落,1,6,duòluò
海洛,海洛,1,6,hǎiluò
抱怨,抱怨,1,7,bàoyuàn
吸食,吸食,1,5,xīshí
憤懣,憤懣,1,6,fènmèn
卡蘭芝,卡蘭芝,1,8,kǎlánzhī
感,感,1,3,gǎn
頒布,頒布,1,5,bānbù
黨衛軍,黨衛軍,1,10,dǎngwèijūn
起因,起因,1,5,qǐyīn
不經,不經,1,6,bùjīng
暴亂,暴亂,1,7,bàoluàn
阿拉伯,阿拉伯,1,5,ālābó
和諧,和諧,1,5,héxié
崇拜,崇拜,1,8,chóngbài
過度,過度,1,5,guòdù
化解,化解,1,6,huàjiě
民兵,民兵,1,7,mínbīng
緊張,緊張,1,8,jǐnzhāng
追殺,追殺,1,7,zhuīshā
戴高樂,戴高樂,1,8,dàigāolè
達爾南德,達爾南德,1,9,dáěrnándé
姍姍來遲,姍姍來遲,1,14,shānshānláichí
起義,起義,1,4,qǐyì
本書,本書,1,6,běnshū
最為,最為,1,6,zuìwèi
居住權,居住權,1,9,jūzhùquán
迫,迫,1,2,pò
天津,天津,1,7,tiānjīn
外國人,外國人,1,9,wàiguórén
內地,內地,1,8,nèide dì
曼德爾,曼德爾,1,7,màndéěr
商務,商務,1,7,shāngwù
分辨率,分辨率,1,9,fēnbiànlǜ
坐標,坐標,1,7,zuòbiāo
戰線,戰線,1,8,zhànxiàn
改良,改良,1,8,gǎiliáng
信號燈,信號燈,1,10,xìnhàodēng
角,角,1,4,jiǎo
很高,很高,1,6,hěngāo
因素,因素,1,5,yīnsù
溶,溶,1,4,róng
天線,天線,1,8,tiānxiàn
偶極,偶極,1,4,ǒují
中東,中東,1,9,zhōngdōng
空運,空運,1,7,kōngyùn
碳酸,碳酸,1,7,tànsuān
飲料,飲料,1,7,yǐnliào
柏林,柏林,1,9,bǎi bólín
扭轉,扭轉,1,8,niǔzhuǎn
指標,指標,1,7,zhǐbiāo
藥丸,藥丸,1,6,yàowán
換,換,1,4,huàn
接到,接到,1,6,jiēdào
知名,知名,1,7,zhīmíng
思想,思想,1,7,sīxiǎng
墜入,墜入,1,6,zhuìrù
南面,南面,1,7,nánmiàn
成就獎,成就獎,1,13,chéngjiùjiǎng
用品,用品,1,7,yòngpǐn
取出,取出,1,5,qǔchū
取款機,取款機,1,8,qǔkuǎnjī
自動,自動,1,6,zìdòng
卡,卡,1,2,kǎ
日出,日出,1,5,rìchū
近代,近代,1,6,jìndài
夏至,夏至,1,6,xiàzhì
稍微,稍微,1,7,shāowēi
冬至,冬至,1,7,dōngzhì
小金人,小金人,1,10,xiǎojīnrén
春分,春分,1,7,chūnfēn
大金人,大金人,1,8,dàjīnrén
秋分,秋分,1,6,qiūfēn
給出,給出,1,6,gěichū
錢德勒,錢德勒,1,9,qiándélēi
終身,終身,1,9,zhōngshēn
最小,最小,1,7,zuìxiǎo
姓,姓,1,4,xìng
傾斜角,傾斜角,1,11,qīngxiéjiǎo
產權,產權,1,8,chǎnquán
西班牙裔,西班牙裔,1,9,xībānyáyì
皇室,皇室,1,8,huángshì
直呼,直呼,1,5,zhíhū
顯得,顯得,1,6,xiǎndé
塞法迪,塞法迪,1,7,sāifǎdí
驅逐,驅逐,1,5,qūzhú
測量,測量,1,7,cèliàng
長度,長度,1,7,zhǎngdù
重要性,重要性,1,12,zhòngyàoxìng
習俗,習俗,1,4,xísú
校服,校服,1,6,xiàofú
升起,升起,1,7,shēngqǐ
修葺,修葺,1,5,xiūqì
離任,離任,1,5,lírèn
機器,機器,1,4,jīqì
金屬,金屬,1,6,jīnshǔ
佐科維,佐科維,1,8,zuǒkēwéi
就職,就職,1,6,jiùzhí
無比,無比,1,4,wúbǐ
困惑,困惑,1,6,kùnhuò
美塞尼亞,美塞尼亞,1,10,měisāiníyà
伯羅奔尼撒,伯羅奔尼撒,1,12,bóluóbēnnísā
民眾,民眾,1,8,mínzhòng
天文台,天文台,1,10,tiānwéntái
評選,評選,1,8,píngxuǎn
朝,朝,1,4,cháo
評,評,1,4,píng
影響力,影響力,1,11,yǐngxiǎnglì
印尼,印尼,1,5,yìnní
包圍,包圍,1,6,bāowéi
緊湊,緊湊,1,6,jǐncòu
蘇比安托,蘇比安托,1,9,sūbǐāntuō
普拉博沃,普拉博沃,1,8,pǔlābówò
麥斯塔河,麥斯塔河,1,9,màisītǎhé
漫步,漫步,1,5,mànbù
中間,中間,1,9,zhōngjiān
大獲,大獲,1,5,dàhuò
激勵,激勵,1,4,jīlì
通用,通用,1,8,tōngyòng
叫,叫,1,4,jiào
奈斯托斯河,奈斯托斯河,1,12,nàisītuōsīhé
葡萄牙,葡萄牙,1,7,pútáoyá
奧斯瓦,奧斯瓦,1,6,àosīwǎ
禮貌,禮貌,1,5,lǐmào
處死,處死,1,5,chùsǐ
靈巧,靈巧,1,8,língqiǎo
卡瑞卡拉,卡瑞卡拉,1,9,kǎruìkǎlā
拜訪,拜訪,1,7,bàifǎng
同盟國,同盟國,1,11,tóngméngguó
分區,分區,1,5,fēnqū
槌,槌,1,4,chuí
很短,很短,1,7,hěnduǎn
格局,格局,1,4,géjú
拉迪亞德吉,拉迪亞德吉,1,10,lādíyàdéjí
戰,戰,1,4,zhàn
赫爾勒,赫爾勒,1,7,hèěrlēi
湖區,湖區,1,4,húqū
深深,深深,1,8,shēnshēn
打動,打動,1,6,dǎdòng
靜態,靜態,1,7,jìngtài
新生兒,新生兒,1,10,xīnshēngér
威廉,威廉,1,7,wēilián
防禦,防禦,1,6,fángyù
一同,一同,1,6,yītóng
機動性,機動性,1,10,jīdòngxìng
大使館,大使館,1,9,dàshǐguǎn
多樣性,多樣性,1,11,duōyàngxìng
期待,期待,1,5,qīdài
上船,上船,1,10,shàngchuán
騎兵,騎兵,1,6,qíbīng
劍術,劍術,1,7,jiànshù
渴望,渴望,1,6,kěwàng
佛羅倫薩,佛羅倫薩,1,10,fúluólúnsà
葛拉德,葛拉德,1,6,gélādé
相遇,相遇,1,7,xiāngyù
七百五十萬,七百五十萬,1,13,qībǎiwǔshíwàn
萊尼,萊尼,1,5,láiní
幸運兔,幸運兔,1,9,xìngyùntù
緣,緣,1,4,yuán
影業,影業,1,6,yǐngyè
環球,環球,1,7,huánqiú
後古典,後古典,1,9,hòugǔdiǎn
伊蓮娜,伊蓮娜,1,8,yīliánnà
遇見,遇見,1,6,yùjiàn
習慣,習慣,1,6,xíguàn
紀元,紀元,1,6,jìyuán
拍攝,拍攝,1,6,pāishè
朝代,朝代,1,7,cháodài
備受,備受,1,7,bèishòu
巧合,巧合,1,6,qiǎohé
科羅娜,科羅娜,1,7,kēluónà
教義,教義,1,6,jiàoyì
哈默史密斯,哈默史密斯,1,11,hāmòshǐmìsī
有悖,有悖,1,6,yǒubèi
相似度,相似度,1,10,xiāngshìdù
諡號,諡號,1,6,shìhào
昭和,昭和,1,6,zhāohé
新生,新生,1,8,xīnshēng
在世,在世,1,6,zàishì
霍默,霍默,1,5,huòmò
臥底,臥底,1,4,wòdǐ
事物,事物,1,5,shìwù
羅馬化,羅馬化,1,8,luómǎhuà
暗示,暗示,1,5,ànshì
階段,階段,1,7,jiēduàn
亞太,亞太,1,5,yàtài
光棍,光棍,1,8,guānggùn
一千萬,一千萬,1,9,yīqiānwàn
傳,傳,1,5,chuán
明鏡,明鏡,1,8,míngjìng
感染,感染,1,6,gǎnrǎn
選票,選票,1,8,xuǎnpiào
花園,花園,1,7,huāyuán
水族館,水族館,1,10,shuǐzúguǎn
舊金山人,舊金山人,1,13,jiùjīnshānrén
放鬆,放鬆,1,8,fàngsōng
舊金山,舊金山,1,10,jiùjīnshān
芳草地,芳草地,1,12,fāngcǎode dì
莫斯克尼,莫斯克尼,1,8,mòsīkèní
頂部,頂部,1,6,dǐngbù
路德,路德,1,4,lùdé
急劇,急劇,1,4,jíjù
下滑,下滑,1,6,xiàhuá
工黨,工黨,1,8,gōngdǎng
順序,順序,1,6,shùnxù
植物園,植物園,1,9,zhíwùyuán
熱烈,熱烈,1,5,rèliè
總理,總理,1,6,zǒnglǐ
伊斯坦堡,伊斯坦堡,1,10,yīsītǎnbǎo
博斯普魯斯,博斯普魯斯,1,10,bósīpǔlǔsī
阻礙,阻礙,1,4,zǔài
轉運,轉運,1,8,zhuǎnyùn
黑海,黑海,1,6,hēihǎi
戰艦,戰艦,1,8,zhànjiàn
遺址,遺址,1,5,yízhǐ
紅銅,紅銅,1,8,hóngtóng
木乃伊,木乃伊,1,7,mùnǎiyī
冰人,冰人,1,7,bīngrén
天文館,天文館,1,11,tiānwénguǎn
金門,金門,1,6,jīnmén
迴避,迴避,1,5,huíbì
接管,接管,1,7,jiēguǎn
特蕾莎,特蕾莎,1,8,tèlěishā
大台階,大台階,1,8,dàtáijiē
吸引,吸引,1,5,xīyǐn
各樣,各樣,1,6,gèyàng
裝有,裝有,1,9,zhuāngyǒu
消防,消防,1,8,xiāofáng
報警,報警,1,7,bàojǐng
信號,信號,1,6,xìnhào
電報,電報,1,7,diànbào
該區,該區,1,5,gāiqū
木偶,木偶,1,4,mùǒu
剩,剩,1,5,shèng
戰末,戰末,1,6,zhànmò
四千,四千,1,6,sìqiān
符騰堡,符騰堡,1,9,fúténgbǎo
賣給,賣給,1,6,màigěi
製造商,製造商,1,11,zhìzàoshāng
喬格,喬格,1,6,qiáogé
萊辛巴哈,萊辛巴哈,1,10,láixīnbāhā
